,department1,year,term,enrollment,name_key1,course_title,Course_Workload_Rating,Course_Overall_Rating
224,ECON,2011,fall,29.0,ECON 1356,Economics of Work and Family,2.0,4.3
225,ECON,2011,fall,109.0,ECON 1723,Capital Markets,2.3,3.9
226,ECON,2011,fall,65.0,ECON 1776,Religion and the Rise of Capitalism,2.0,3.5
227,ECON,2011,fall,17.0,ECON 1936,Keynes's General Theory,2.8,4.2
228,ECON,2011,fall,38.0,ECON 2010A,Economic Theory,3.8,4.0
229,ECON,2011,fall,45.0,ECON 2010D,Economic Theory,3.0,3.6
230,ECON,2011,fall,24.0,ECON 2020A,Microeconomic Theory I,3.1,3.7
231,ECON,2011,fall,23.0,ECON 2030,Psychology and Economics,1.8,4.2
232,ECON,2011,fall,4.0,ECON 2051R,Mathematical Methods in Economic Theory,3.0,4.0
233,ECON,2011,fall,17.0,ECON 2056A,Market Design,1.6,4.6
234,ECON,2011,fall,31.0,ECON 2060,Contract Theory,2.3,4.0
235,ECON,2011,fall,10.0,ECON 2080,Economics and Politics: The Foundations of Economics in Political Theory,2.0,4.2
236,ECON,2011,fall,24.0,ECON 2110,Introductory Probability and Statistics for Economists,3.2,3.2
237,ECON,2011,fall,9.0,ECON 2142,Time Series Analysis,1.8,4.0
238,ECON,2011,fall,6.0,ECON 2149,Computational Economics,2.4,5.0
239,ECON,2011,fall,5.0,ECON 2162,Research in Econometrics,0.0,4.0
240,ECON,2011,fall,20.0,ECON 2412A,Political Economics,2.1,3.8
241,ECON,2011,fall,12.0,ECON 2450A,Public Economics and Fiscal Policy I,2.7,4.1
242,ECON,2011,fall,15.0,ECON 2390B,Development Economics I: Microeconomic Issues,2.0,3.8
243,ECON,2011,fall,9.0,ECON 2455R,Imperfect Knowledge in Macroeconomics,1.7,4.3
244,ECON,2011,fall,12.0,ECON 2480,Research in Public Economics and Fiscal Policy: Research Seminar,3.0,5.0
245,ECON,2011,fall,8.0,ECON 2325,Comparative Historical Economic Development,2.8,5.0
246,ECON,2011,fall,7.0,ECON 2420HF,Research in Macroeconomics,0.0,2.0
247,ECON,2011,fall,9.0,ECON 2530A,International Trade,2.8,4.5
248,ECON,2011,fall,8.0,ECON 2540HF,Research in International Economics,1.0,5.0
249,ECON,2011,fall,21.0,ECON 2610,Industrial Organization I,3.5,4.0
250,ECON,2011,fall,18.0,ECON 2723,Asset Pricing I,3.6,4.6
251,ECON,2011,fall,10.0,ECON 2770HF,Research in Financial Economics,1.5,4.7
252,ECON,2011,fall,33.0,ECON 2810A,Labor Market Analysis,2.6,4.7
253,ECON,2011,fall,11.0,ECON 2812HF,Research in Labor Economics,1.0,4.0
254,ECON,2011,fall,5.0,ECON 3810CHFR,The Labor Economics Workshop,0.0,5.0
255,ECON,2011,fall,16.0,ECON 980D,The Rise of Asia and World Economy,2.2,4.7
256,ECON,2011,fall,11.0,ECON 980V,Household Finance,2.4,4.7
257,ECON,2011,fall,10.0,ECON 985A,Research in Microeconomics,2.9,2.5
258,ECON,2011,fall,6.0,ECON 985C,Research in Labor Economics,2.8,2.2
259,ECON,2011,fall,5.0,ECON 985D,Research in Economic Development,3.0,3.2
260,ECON,2011,fall,10.0,ECON 985E,Research in Macroeconomics,3.2,3.6
261,ECON,2011,fall,9.0,ECON 985F,Research in International Trade and Finance,2.0,3.8
262,ECON,2011,fall,9.0,ECON 985H,Research in Financial Markets,2.7,3.4
263,ECON,2011,fall,11.0,ECON 985K,Research in Public Economics,2.6,2.8
269,ENG-SCI,2011,fall,41.0,ENG-SCI 115,Mathematical Modeling,2.0,3.9
270,ENG-SCI,2011,fall,23.0,ENG-SCI 125,Mechanical Systems,2.6,4.0
271,ENG-SCI,2011,fall,2.0,ENG-SCI 135,Physics and Chemistry: In the Context of Energy and Climate at the Global and Molecular Level,2.5,3.6
272,ENG-SCI,2011,fall,53.0,ENG-SCI 139,Innovation in Science and Engineering: Conference Course,1.5,3.9
273,ENG-SCI,2011,fall,23.0,ENG-SCI 153,Laboratory Electronics,3.6,3.8
274,ENG-SCI,2011,fall,13.0,ENG-SCI 165,Water Engineering,2.5,3.8
275,ENG-SCI,2011,fall,32.0,ENG-SCI 181,Engineering Thermodynamics,3.0,3.3
276,ENG-SCI,2011,fall,65.0,ENG-SCI 190,Introduction to Materials Science and Engineering,1.5,3.0
277,ENG-SCI,2011,fall,7.0,ENG-SCI 207,Communicating Science,1.9,4.3
278,ENG-SCI,2011,fall,8.0,ENG-SCI 212,Quantitative Cell Biology: Self-Organization and Cellular Architecture,2.6,3.9
279,ENG-SCI,2011,fall,23.0,ENG-SCI 21,"The Innovator's Practice: Finding, Building and Leading Good Ideas with Others",2.1,3.6
280,ENG-SCI,2011,fall,24.0,ENG-SCI 145,Physiological Systems Analysis,2.6,4.5
281,ENG-SCI,2011,fall,21.0,ENG-SCI 164,Soil and Environmental Chemistry,2.2,2.9
282,ENG-SCI,2011,fall,25.0,ENG-SCI 154,Electronic Devices and Circuits,4.6,4.3
283,ENG-SCI,2011,fall,16.0,ENG-SCI 220,Fluid Dynamics,2.8,4.2
284,ENG-SCI,2011,fall,7.0,ENG-SCI 222,Advanced Cellular Engineering,3.4,4.0
285,ENG-SCI,2011,fall,5.0,ENG-SCI 233,Health Care Computer-Assisted Innovations,3.2,4.5
286,ENG-SCI,2011,fall,5.0,ENG-SCI 239,Advanced Innovation in Science and Engineering: Conference Course,1.2,3.8
287,ENG-SCI,2011,fall,15.0,ENG-SCI 240,Solid Mechanics,3.2,3.9
288,ENG-SCI,2011,fall,6.0,ENG-SCI 255,Detection and Estimation Theory and Applications,4.5,4.7
289,ENG-SCI,2011,fall,14.0,ENG-SCI 268,Chemical Kinetics,1.9,3.9
290,ENG-SCI,2011,fall,5.0,ENG-SCI 275,Nanophotonics,3.6,3.6
291,ENG-SCI,2011,fall,11.0,ENG-SCI 276,Introduction to MicroElectroMechanical System,1.6,3.5
292,ENG-SCI,2011,fall,2.0,ENG-SCI 397,"Multidimensional Signal Processing, Sensor Networks, and Computational Imaging",5.0,5.0
293,ENG-SCI,2011,fall,9.0,ENG-SCI 273,Optics and Photonics,2.4,4.6
294,ENG-SCI,2011,fall,9.0,ENG-SCI 271R,Topics in Mixed-Signal Integrated Circuits,2.0,4.3
295,ENG-SCI,2011,fall,30.0,ENG-SCI 51,Computer-Aided Machine Design,2.2,4.5
296,ENG-SCI,2011,fall,40.0,ENG-SCI 53,Quantitative Physiology as a Basis for Bioengineering,3.8,3.2
297,ENGLISH,2011,fall,20.0,ENGLISH 125S,Shakespeare and Identity,2.4,4.6
298,ENGLISH,2011,fall,6.0,ENGLISH 131,John Milton: An Introduction to His Life and Poetry,2.2,4.3
299,ENGLISH,2011,fall,22.0,ENGLISH 151,The 19th-Century Novel,2.9,4.2
300,ENGLISH,2011,fall,418.0,ENGLISH 154,Literature and Sexuality,2.1,4.4
301,ENGLISH,2011,fall,79.0,ENGLISH 157,The Classic Phase of the Novel,3.1,4.6
302,ENGLISH,2011,fall,12.0,ENGLISH 158,Crime and Punishment in English Fiction,2.7,3.8
303,ENGLISH,2011,fall,14.0,ENGLISH 170AW,American Women Writers,2.9,3.9
304,ENGLISH,2011,fall,39.0,ENGLISH 179,American Drama Since 1945,2.2,3.4
305,ENGLISH,2011,fall,7.0,ENGLISH 181A,Introduction to Asian American Literature,1.7,4.6
306,ENGLISH,2011,fall,4.0,ENGLISH 220GE,Shakespeare's Creative Development (Graduate Seminar in General Education): Graduate Seminar,2.7,3.0
307,ENGLISH,2011,fall,8.0,ENGLISH 222,Renaissance Life Studies: Graduate Seminar,2.8,5.0
308,ENGLISH,2011,fall,10.0,ENGLISH 242,Restoration and 18th-Century Texts: Graduate Seminar,3.7,3.6
309,ENGLISH,2011,fall,11.0,ENGLISH 264X,Sensation and Moral Action in Thomas Hardy: Graduate Seminar,3.0,4.5
310,ENGLISH,2011,fall,6.0,ENGLISH 294,Realism and Naturalism: Graduate Seminar,3.0,4.6
311,ENGLISH,2011,fall,8.0,ENGLISH 297A,Machine Art: Graduate Seminar,2.6,4.2
312,ENGLISH,2011,fall,8.0,ENGLISH 272,19th-Century American Fiction,3.1,4.4
313,ENGLISH,2011,fall,6.0,ENGLISH 350,Teaching Colloquium,1.0,4.3
314,ENGLISH,2011,fall,31.0,ENGLISH 41,Arrivals,2.2,4.4
315,ENGLISH,2011,fall,31.0,ENGLISH 42,Arrivals,2.5,3.9
316,ENGLISH,2011,fall,23.0,ENGLISH 50,"Poets: Ode, Elegy, Epigram, Fragment, Song",1.9,4.0
317,ENGLISH,2011,fall,21.0,ENGLISH 56,Narrative Poetry,2.6,4.2
318,ENGLISH,2011,fall,28.0,ENGLISH 63,Diffusions: The Global Bildungsrom,2.6,4.3
319,ENGLISH,2011,fall,16.0,ENGLISH 90CA,Set in Motion: Contemporary American Literature: Seminar,2.7,4.1
320,ENGLISH,2011,fall,6.0,ENGLISH 90EP,The English Epic,2.5,4.2
321,ENGLISH,2011,fall,8.0,ENGLISH 90HB,Four Shakespeare Plays: Seminar,2.0,3.9
322,ENGLISH,2011,fall,6.0,ENGLISH 90LM,Literature of Mourning: Seminar,2.3,3.3
323,ENGLISH,2011,fall,11.0,ENGLISH 90PF,"Poets: Ballads, Sonnets, Literary History, and Poetic Form",2.6,4.6
324,ENGLISH,2011,fall,26.0,ENGLISH 90LV,Consciousness from Austen to Woolf: Seminar,2.1,4.5
325,ENGLISH,2011,fall,13.0,ENGLISH 90PY,The Poetry of W.B. Yeats: Seminar,2.2,4.3
326,ENGLISH,2011,fall,17.0,ENGLISH 90WE,David Foster Wallace & Environs: Seminar,3.4,4.5
327,ENGLISH,2011,fall,19.0,ENGLISH 98R,Tutorial - Junior Year,3.1,4.8
328,ENGLISH,2011,fall,8.0,ENGLISH CASR,Playwriting: Adaptation for the Stage,2.1,4.1
329,ENGLISH,2011,fall,9.0,ENGLISH CBBR,Poetry Workshop,1.9,4.4
330,ENGLISH,2011,fall,9.0,ENGLISH CHCR,Poetry Workshop,2.3,4.2
331,ENGLISH,2011,fall,24.0,ENGLISH CLR,Dramatic Screenwriting I,2.3,4.7
332,ENGLISH,2011,fall,10.0,ENGLISH CNNR,Advanced Creative Nonfiction,2.4,4.5
333,ENGLISH,2011,fall,11.0,ENGLISH CNFR,Introduction to Creative Nonfiction,1.9,4.9
334,ENGLISH,2011,fall,12.0,ENGLISH CRR,Fiction Writing,2.1,5.0
335,ENGLISH,2011,fall,11.0,ENGLISH CWAR,Advanced Fiction Workshop,2.4,4.7
336,ENGLISH,2011,fall,12.0,ENGLISH CWFR,Introductory Fiction Workshop,2.1,4.7
342,ETHRSON,2011,fall,36.0,ETHRSON 13,"Self, Freedom, and Existence",1.9,3.6
343,ETHRSON,2011,fall,31.0,ETHRSON 15,"If There is No God, All is Permitted: Theism and Moral Reasoning",2.2,3.5
344,ETHRSON,2011,fall,74.0,ETHRSON 28,Moral Inquiry in the Novels of Tolstoy and Dostoevsky,2.6,3.7
345,ETHRSON,2011,fall,112.0,ETHRSON 30,The Just World,1.9,3.8
346,EXPOS,2011,fall,10.0,EXPOS 10.001,Introduction to Expository Writing,1.9,4.2
347,EXPOS,2011,fall,7.0,EXPOS 10.002,Introduction to Expository Writing,2.3,4.0
348,EXPOS,2011,fall,9.0,EXPOS 10.003,Introduction to Expository Writing,1.9,4.6
349,EXPOS,2011,fall,9.0,EXPOS 10.004,Introduction to Expository Writing,1.9,4.7
350,EXPOS,2011,fall,10.0,EXPOS 10.005,Introduction to Expository Writing,2.4,4.2
351,EXPOS,2011,fall,10.0,EXPOS 10.006,Introduction to Expository Writing,2.4,4.2
352,EXPOS,2011,fall,10.0,EXPOS 10.007,Introduction to Expository Writing,1.8,4.3
353,EXPOS,2011,fall,10.0,EXPOS 10.008,Introduction to Expository Writing,1.5,4.9
354,EXPOS,2011,fall,10.0,EXPOS 10.009,Introduction to Expository Writing,1.9,4.7
355,EXPOS,2011,fall,10.0,EXPOS 10.010,Introduction to Expository Writing,2.1,4.4
356,EXPOS,2011,fall,10.0,EXPOS 10.011,Introduction to Expository Writing,1.9,4.3
357,EXPOS,2011,fall,10.0,EXPOS 10.012,Introduction to Expository Writing,1.9,4.3
358,EXPOS,2011,fall,10.0,EXPOS 10.013,Introduction to Expository Writing,1.9,3.8
359,EXPOS,2011,fall,10.0,EXPOS 10.014,Introduction to Expository Writing,1.8,4.6
360,EXPOS,2011,fall,10.0,EXPOS 10.015,Introduction to Expository Writing,2.0,4.6
361,EXPOS,2011,fall,10.0,EXPOS 10.016,Introduction to Expository Writing,1.8,4.6
362,EXPOS,2011,fall,15.0,EXPOS 20.012,Expository Writing 20,2.3,4.3
363,EXPOS,2011,fall,15.0,EXPOS 20.041,Expository Writing 20,2.3,4.5
364,EXPOS,2011,fall,15.0,EXPOS 20.042,Expository Writing 20,2.1,4.3
365,EXPOS,2011,fall,16.0,EXPOS 20.046,Expository Writing 20,1.9,4.2
366,EXPOS,2011,fall,13.0,EXPOS 20.047,Expository Writing 20,2.3,4.7
367,EXPOS,2011,fall,15.0,EXPOS 20.050,Expository Writing 20,1.5,4.1
368,EXPOS,2011,fall,14.0,EXPOS 20.002,Expository Writing 20,2.2,3.9
369,EXPOS,2011,fall,15.0,EXPOS 20.001,Expository Writing 20,2.3,4.2
370,EXPOS,2011,fall,15.0,EXPOS 20.005,Expository Writing 20,2.0,4.0
371,EXPOS,2011,fall,15.0,EXPOS 20.063,Expository Writing 20,2.6,3.9
372,EXPOS,2011,fall,15.0,EXPOS 20.066,Expository Writing 20,1.8,3.7
373,EXPOS,2011,fall,15.0,EXPOS 20.067,Expository Writing 20,2.3,4.4
374,EXPOS,2011,fall,15.0,EXPOS 20.071,Expository Writing 20,2.0,4.4
375,EXPOS,2011,fall,14.0,EXPOS 20.070,Expository Writing 20,2.3,4.6
376,EXPOS,2011,fall,15.0,EXPOS 20.079,Expository Writing 20,2.1,4.2
377,EXPOS,2011,fall,14.0,EXPOS 20.080,Expository Writing 20,2.0,4.1
378,EXPOS,2011,fall,12.0,EXPOS 20.084,Expository Writing 20,1.7,3.8
379,EXPOS,2011,fall,15.0,EXPOS 20.085,Expository Writing 20,2.3,3.9
380,EXPOS,2011,fall,15.0,EXPOS 20.087,Expository Writing 20,1.3,4.5
381,EXPOS,2011,fall,15.0,EXPOS 20.088,Expository Writing 20,2.2,3.8
382,EXPOS,2011,fall,14.0,EXPOS 20.094,Expository Writing 20,2.2,3.6
383,EXPOS,2011,fall,15.0,EXPOS 20.093,Expository Writing 20,2.4,3.8
384,EXPOS,2011,fall,15.0,EXPOS 20.097,Expository Writing 20,1.7,3.5
385,EXPOS,2011,fall,15.0,EXPOS 20.101,Expository Writing 20,2.5,4.8
386,EXPOS,2011,fall,15.0,EXPOS 20.102,Expository Writing 20,2.4,4.7
387,EXPOS,2011,fall,14.0,EXPOS 20.098,Expository Writing 20,1.8,3.8
388,EXPOS,2011,fall,15.0,EXPOS 20.105,Expository Writing 20,2.4,4.1
389,EXPOS,2011,fall,15.0,EXPOS 20.106,Expository Writing 20,2.9,4.3
390,EXPOS,2011,fall,15.0,EXPOS 20.115,Expository Writing 20,2.1,3.8
391,EXPOS,2011,fall,15.0,EXPOS 20.116,Expository Writing 20,2.3,4.0
392,EXPOS,2011,fall,16.0,EXPOS 20.120,Expository Writing 20,2.3,4.6
393,EXPOS,2011,fall,14.0,EXPOS 20.119,Expository Writing 20,2.3,4.0
