Course,term,year,department,Enrollment,Workload,Overall
BPH 309QC: Tumor Cell Signaling and Metabolism,fall,2011,BPH,9,2.1,4.8
BPH 310QC: Molecular Mechanisms of Aging,fall,2011,BPH,6,2.0,4.4
"CELLBIO 226: Concepts in Development, Self-Renewal, and Repair",fall,2011,CELLBIO,6,1.8,4.8
CELLBIO 304QC: Introduction to Human Gross Anatomy,fall,2011,CELLBIO,7,1.0,5.0
CELLBIO 306QC: Teaching 100: The Theory and Science of Teaching,fall,2011,CELLBIO,7,1.0,4.5
CELLBIO 365: Mechanism and Biology of Ubiquitin-like Protein Conjugation Cascades,fall,2011,CELLBIO,2,,
CELTIC 109: The Finn Cycle,fall,2011,CELTIC,3,2.0,5.0
CELTIC 137: Celtic Mythology,fall,2011,CELTIC,38,1.6,3.9
CELTIC 138: Narrative Traditions of Medieval Wales,fall,2011,CELTIC,12,1.5,4.8
CHEM 100: Experimental Chemistry and Chemical Biology,fall,2011,CHEM,6,1.6,4.8
CHEM 101: Organic Synthesis Towards a Genomic Medicine,fall,2011,CHEM,41,2.0,4.0
CHEM 106: Advanced Organic Chemistry,fall,2011,CHEM,16,3.2,3.6
CHEM 115: Advanced Organic Chemistry: Synthesis of Complex Molecules,fall,2011,CHEM,14,4.4,3.2
CHEM 153: Organotransition Metal Chemistry,fall,2011,CHEM,23,3.0,4.1
CHEM 160: Physical Chemistry,fall,2011,CHEM,43,2.8,3.6
CHEM 163: Frontiers in Biophysics,fall,2011,CHEM,7,3.3,3.9
CHEM 170: Chemical Biology,fall,2011,CHEM,44,2.0,4.5
CHEM 17: Principles of Organic Chemistry,fall,2011,CHEM,202,2.9,3.7
CHEM 301HF: Scientific Teaching and Communications: Practicum,fall,2011,CHEM,42,1.0,3.5
CHEM 30: Organic Chemistry,fall,2011,CHEM,83,3.4,4.5
CHEM 60: Foundations of Physical Chemistry,fall,2011,CHEM,10,2.4,3.6
CHEMBIO 201: Introduction to Scientific computing with Python and Matlab,fall,2011,CHEMBIO,5,3.0,2.8
CHNSE 106A: Introduction to Literary Chinese,fall,2011,CHNSE,12,2.2,4.6
CHNSE 107A: Intermediate Literary Chinese,fall,2011,CHNSE,6,2.7,4.3
CHNSE 120A: Intermediate Modern Chinese,fall,2011,CHNSE,44,3.0,4.6
CHNSE 130A: Advanced Modern Chinese,fall,2011,CHNSE,54,2.6,4.4
CHNSE 130XA: Advanced Modern Chinese for Heritage Students,fall,2011,CHNSE,23,2.8,4.6
CHNSE 140A: Advanced Readings in Modern Chinese,fall,2011,CHNSE,43,2.5,4.6
CHNSE 142A: Advanced Conversational Chinese,fall,2011,CHNSE,10,2.0,4.3
CHNSE 150A: Formal Chinese Writing and Speaking,fall,2011,CHNSE,22,2.2,4.4
CHNSE 163: Business Chinese,fall,2011,CHNSE,10,3.0,4.8
CHNSE BA: Elementary Modern Chinese,fall,2011,CHNSE,121,3.1,4.5
CHNSE BX: Elementary Chinese for Advanced Beginners,fall,2011,CHNSE,48,3.0,4.6
CHNSHIS 125: Rebels with a Cause: Tiananmen in History and Memory: Seminar,fall,2011,CHNSHIS,12,1.7,4.5
CHNSHIS 200R: Computational Methods for Historical Analysis,fall,2011,CHNSHIS,8,2.6,4.9
CHNSHIS 224: Introduction to T'ang and Sung Historical Sources,fall,2011,CHNSHIS,12,3.3,4.8
CHNSHIS 253: Topics in Late Imperial History,fall,2011,CHNSHIS,14,4.4,4.4
CHNSLIT 171: Shanghai: A Cultural History,fall,2011,CHNSLIT,12,2.1,4.6
CHNSLIT 266R: Topics in Ancient Literature,fall,2011,CHNSLIT,12,2.6,4.7
CHNSLIT 271: Chinese Revolutionary Cinema: Seminar,fall,2011,CHNSLIT,6,2.8,4.7
CL 286: Metaphor,fall,2011,CL,9,3.2,4.9
CLASARCH 156: Roman Public Monuments,fall,2011,CLASARCH,6,2.0,4.5
CLASARCH 251: Greek Athletics,fall,2011,CLASARCH,3,2.5,4.7
CLASPHIL 214: The Greek Novel,fall,2011,CLASPHIL,4,3.0,4.3
CLASPHIL 227: Latin Lexicography: Seminar,fall,2011,CLASPHIL,5,3.0,4.8
CLASPHIL 276: Aesthetics in Hellenistic and Augustan Poetry: Seminar,fall,2011,CLASPHIL,5,2.4,4.0
CLASPHIL 291: Epicureanism: Seminar,fall,2011,CLASPHIL,3,2.7,4.3
CLASSIC 98: Tutorial - Junior Year,fall,2011,CLASSIC,6,2.5,4.3
CLS-STDY 110: The Literature of the Age of Augustus,fall,2011,CLS-STDY,2,2.5,5.0
CLS-STDY 121: Writing Religion in the Fourth Century CE: The Cappadocian Fathers and the Hellenic Tradition,fall,2011,CLS-STDY,5,2.6,4.8
CLS-STDY 97A: Greek Culture and Civilization,fall,2011,CLS-STDY,18,2.6,4.1
COMPLIT 240: Paradoxes of the Secular-Sacred in Modernism,fall,2011,COMPLIT,5,2.5,5.0
"COMPLIT 257: Trauma, Memory, and Creativity",fall,2011,COMPLIT,10,3.1,4.7
COMPLIT 275: Theory of Narrative: Conference Course,fall,2011,COMPLIT,10,2.6,4.4
COMPLIT 299AR: Theory and Comparative Literature: Proseminar,fall,2011,COMPLIT,10,2.3,4.0
COMPSCI 105: Privacy and Technology,fall,2011,COMPSCI,35,2.1,4.3
COMPSCI 121: Introduction to Formal Systems and Computation,fall,2011,COMPSCI,72,3.4,3.5
COMPSCI 141: Computing Hardware,fall,2011,COMPSCI,31,3.5,3.6
COMPSCI 153: Compilers,fall,2011,COMPSCI,25,3.3,4.5
COMPSCI 175: Computer Graphics,fall,2011,COMPSCI,30,3.5,3.7
"COMPSCI 182: Intelligent Machines: Reasoning, Actions, and Plans",fall,2011,COMPSCI,15,3.1,3.7
COMPSCI 186: Economics and Computation,fall,2011,COMPSCI,10,3.3,4.7
COMPSCI 203HF: A Better Internet: Policy and Practice,fall,2011,COMPSCI,5,2.0,4.3
COMPSCI 205: Computing Foundations for Computational Science,fall,2011,COMPSCI,45,3.4,3.7
COMPSCI 220R: Cryptography: Trust and Adversity,fall,2011,COMPSCI,42,2.6,4.5
COMPSCI 223: Probabilistic Analysis and Algorithms,fall,2011,COMPSCI,20,3.3,4.3
COMPSCI 252R: Advanced Topics in Programming Languages,fall,2011,COMPSCI,12,2.0,4.2
COMPSCI 261: Research Topics in Operating Systems,fall,2011,COMPSCI,16,3.6,4.6
COMPSCI 281: Advanced Machine Learning,fall,2011,COMPSCI,36,3.5,4.4
COMPSCI 286R: Topics at the Interface between Computer Science and Economics,fall,2011,COMPSCI,14,2.2,4.8
COMPSCI 325: Intelligent Interactive Systems and Human-Computer,fall,2011,COMPSCI,4,4.5,3.0
COMPSCI 50: Introduction to Computer Science I,fall,2011,COMPSCI,604,4.1,4.3
COMPSCI 61: Systems Programming and Machine Organization,fall,2011,COMPSCI,109,2.7,4.2
CULTBLF 11: Medicine and the Body in East Asia and in Europe,fall,2011,CULTBLF,42,2.4,4.0
CULTBLF 14: Human Being and the Sacred in the History of the West,fall,2011,CULTBLF,23,1.9,3.3
"CULTBLF 16: Performance, Tradition and Cultural Studies: An Introduction to Folklore and Mythology",fall,2011,CULTBLF,35,1.9,3.7
CULTBLF 22: Concepts of the Hero in Classical Greek Civilization,fall,2011,CULTBLF,217,1.5,3.6
"CULTBLF 23: From the Hebrew Bible to Judaism, From the Old Testament to Christianity",fall,2011,CULTBLF,75,1.5,4.3
CULTBLF 28: Hindu Worlds of Art and Culture,fall,2011,CULTBLF,53,1.8,3.9
CULTBLF 30: Seeing is Believing: A History of Photography,fall,2011,CULTBLF,108,1.7,4.2
CULTBLF 33: Introduction to the Study of East Asian Religions,fall,2011,CULTBLF,125,1.7,4.1
CULTBLF 34: Madness and Medicine: Themes in the History of Psychiatry,fall,2011,CULTBLF,308,1.7,4.3
CULTBLF 37: The Romance: From Jane Austen to Chick Lit,fall,2011,CULTBLF,119,2.0,4.2
CULTBLF 47: The Darwinian Revolution,fall,2011,CULTBLF,65,1.6,3.8
CULTBLF 49: American Protest Literature from Tom Paine to Tupac,fall,2011,CULTBLF,59,2.3,4.1
"CULTBLF 50: The European Postwar: Literature, Film, Politics",fall,2011,CULTBLF,112,2.1,4.2
DRAMA 101: Introduction to Theatre,fall,2011,DRAMA,6,1.3,3.2
DRAMA 110A: Acting Lab: The Fusion of Intellect and Imagination for the Stage,fall,2011,DRAMA,19,1.1,4.9
DRAMA 114: Practical Aesthetics,fall,2011,DRAMA,16,1.6,5.0
DRAMA 117: Acting Chekhov,fall,2011,DRAMA,11,1.5,4.5
DRAMA 119: Vocal Production for the Stage,fall,2011,DRAMA,18,2.2,4.7
DRAMA 130R: Directing,fall,2011,DRAMA,9,2.2,4.5
DRAMA 163X: Puppetry in Performance,fall,2011,DRAMA,7,1.7,4.7
E-PSCI 171: Structural Geology and Tectonics,fall,2011,E-PSCI,15,2.5,4.4
E-PSCI 181: Historical Geobiology,fall,2011,E-PSCI,12,1.5,4.2
E-PSCI 200: Atmospheric Chemistry and Physics,fall,2011,E-PSCI,14,2.4,4.2
E-PSCI 208: Physics of Climate,fall,2011,E-PSCI,15,2.7,3.9
E-PSCI 21: The Dynamic Earth: Geology and Tectonics Through Time,fall,2011,E-PSCI,30,1.9,3.2
E-PSCI 232: Dynamic Meteorology,fall,2011,E-PSCI,6,2.3,3.2
E-PSCI 239: The Consequences of Energy Systems,fall,2011,E-PSCI,21,1.3,3.1
E-PSCI 286R: Current Topics in Biogeochemistry I: Electron budgets through time,fall,2011,E-PSCI,6,3.4,5.0
EABS 255: Readings on Chinese Religions: Recent Scholarship on Chinese Buddhism: Seminar,fall,2011,EABS,10,3.8,4.8
EASTD 123: From Kabuki to Anime: Japanese Cinema and Performance,fall,2011,EASTD,5,2.2,4.8
EASTD 131: (Math+History) in East Asia: Time Behind Circles: Seminar,fall,2011,EASTD,10,1.5,4.5
EASTD 220R: Medieval Japanese Picture Scrolls,fall,2011,EASTD,7,3.0,4.4
EASTD 98D: Junior Tutorial--The Political Economy of Modern China,fall,2011,EASTD,8,2.7,4.6
EASTD 98F: Junior Tutorial - The Study of East Asian Religions,fall,2011,EASTD,7,2.3,4.9
ECON 1010A: Microeconomic Theory,fall,2011,ECON,347,2.1,2.7
ECON 1011A: Microeconomic Theory,fall,2011,ECON,78,2.8,3.9
ECON 1018: Cultural Economics,fall,2011,ECON,68,1.7,3.4
ECON 1056: Market Design,fall,2011,ECON,16,2.0,4.6
ECON 10: Principles of Economics,fall,2011,ECON,722,2.4,3.3
ECON 1123: Introduction to Econometrics,fall,2011,ECON,213,2.5,3.3
ECON 1356: Economics of Work and Family,fall,2011,ECON,29,2.0,4.3
ECON 1432: Economics of European Integrations,fall,2011,ECON,72,1.6,4.0
ECON 1450R: Religion and Political Economy,fall,2011,ECON,5,2.0,4.5
ECON 1490: Growth and Crisis in the World Economy,fall,2011,ECON,29,2.2,4.6
ECON 1530: International Monetary Economics,fall,2011,ECON,39,1.9,3.7
ECON 1545: International Financial and Macroeconomic Policy,fall,2011,ECON,17,2.4,4.9
ECON 1635: Technology Innovation and Economic Growth,fall,2011,ECON,34,1.6,3.9
ECON 1723: Capital Markets,fall,2011,ECON,109,2.3,3.9
ECON 1776: Religion and the Rise of Capitalism,fall,2011,ECON,65,2.0,3.5
ECON 1936: Keynes's General Theory,fall,2011,ECON,17,2.8,4.2
ECON 2010A: Economic Theory,fall,2011,ECON,38,3.8,4.0
ECON 2010D: Economic Theory,fall,2011,ECON,45,3.0,3.6
ECON 2020A: Microeconomic Theory I,fall,2011,ECON,24,3.1,3.7
ECON 2030: Psychology and Economics,fall,2011,ECON,23,1.8,4.2
ECON 2051R: Mathematical Methods in Economic Theory,fall,2011,ECON,4,3.0,4.0
ECON 2056A: Market Design,fall,2011,ECON,17,1.6,4.6
ECON 2060: Contract Theory,fall,2011,ECON,31,2.3,4.0
ECON 2080: Economics and Politics: The Foundations of Economics in Political Theory,fall,2011,ECON,10,2.0,4.2
ECON 2110: Introductory Probability and Statistics for Economists,fall,2011,ECON,24,3.2,3.2
ECON 2142: Time Series Analysis,fall,2011,ECON,9,1.8,4.0
ECON 2149: Computational Economics,fall,2011,ECON,6,2.4,5.0
ECON 2162: Research in Econometrics,fall,2011,ECON,5,0.0,4.0
ECON 2325: Comparative Historical Economic Development,fall,2011,ECON,8,2.8,5.0
ECON 2390B: Development Economics I: Microeconomic Issues,fall,2011,ECON,15,2.0,3.8
ECON 2412A: Political Economics,fall,2011,ECON,20,2.1,3.8
ECON 2420HF: Research in Macroeconomics,fall,2011,ECON,7,0.0,2.0
ECON 2450A: Public Economics and Fiscal Policy I,fall,2011,ECON,12,2.7,4.1
ECON 2455R: Imperfect Knowledge in Macroeconomics,fall,2011,ECON,9,1.7,4.3
ECON 2480: Research in Public Economics and Fiscal Policy: Research Seminar,fall,2011,ECON,12,3.0,5.0
ECON 2530A: International Trade,fall,2011,ECON,9,2.8,4.5
ECON 2540HF: Research in International Economics,fall,2011,ECON,8,1.0,5.0
ECON 2610: Industrial Organization I,fall,2011,ECON,21,3.5,4.0
ECON 2723: Asset Pricing I,fall,2011,ECON,18,3.6,4.6
ECON 2770HF: Research in Financial Economics,fall,2011,ECON,10,1.5,4.7
ECON 2810A: Labor Market Analysis,fall,2011,ECON,33,2.6,4.7
ECON 2812HF: Research in Labor Economics,fall,2011,ECON,11,1.0,4.0
ECON 3810CHFR: The Labor Economics Workshop,fall,2011,ECON,5,0.0,5.0
ECON 980D: The Rise of Asia and World Economy,fall,2011,ECON,16,2.2,4.7
ECON 980V: Household Finance,fall,2011,ECON,11,2.4,4.7
ECON 985A: Research in Microeconomics,fall,2011,ECON,10,2.9,2.5
ECON 985C: Research in Labor Economics,fall,2011,ECON,6,2.8,2.2
ECON 985D: Research in Economic Development,fall,2011,ECON,5,3.0,3.2
ECON 985E: Research in Macroeconomics,fall,2011,ECON,10,3.2,3.6
ECON 985F: Research in International Trade and Finance,fall,2011,ECON,9,2.0,3.8
ECON 985H: Research in Financial Markets,fall,2011,ECON,9,2.7,3.4
ECON 985K: Research in Public Economics,fall,2011,ECON,11,2.6,2.8
EMREAS 13: Analyzing Politics,fall,2011,EMREAS,38,1.3,3.8
EMREAS 15: Medical Detectives,fall,2011,EMREAS,23,1.3,3.8
EMREAS 16: Real-Life Statistics: Your Chance for Happiness (or Misery),fall,2011,EMREAS,11,1.2,3.5
EMREAS 17: Deductive Logic,fall,2011,EMREAS,49,1.9,4.6
EMREAS 20: The Business and Politics of Health,fall,2011,EMREAS,52,1.9,3.8
ENG-SCI 115: Mathematical Modeling,fall,2011,ENG-SCI,41,2.0,3.9
ENG-SCI 125: Mechanical Systems,fall,2011,ENG-SCI,23,2.6,4.0
ENG-SCI 135: Physics and Chemistry: In the Context of Energy and Climate at the Global and Molecular Level,fall,2011,ENG-SCI,2,2.5,3.6
ENG-SCI 139: Innovation in Science and Engineering: Conference Course,fall,2011,ENG-SCI,53,1.5,3.9
ENG-SCI 145: Physiological Systems Analysis,fall,2011,ENG-SCI,24,2.6,4.5
ENG-SCI 153: Laboratory Electronics,fall,2011,ENG-SCI,23,3.6,3.8
ENG-SCI 154: Electronic Devices and Circuits,fall,2011,ENG-SCI,25,4.6,4.3
ENG-SCI 164: Soil and Environmental Chemistry,fall,2011,ENG-SCI,21,2.2,2.9
ENG-SCI 165: Water Engineering,fall,2011,ENG-SCI,13,2.5,3.8
ENG-SCI 181: Engineering Thermodynamics,fall,2011,ENG-SCI,32,3.0,3.3
ENG-SCI 190: Introduction to Materials Science and Engineering,fall,2011,ENG-SCI,65,1.5,3.0
ENG-SCI 207: Communicating Science,fall,2011,ENG-SCI,7,1.9,4.3
ENG-SCI 212: Quantitative Cell Biology: Self-Organization and Cellular Architecture,fall,2011,ENG-SCI,8,2.6,3.9
"ENG-SCI 21: The Innovator's Practice: Finding, Building and Leading Good Ideas with Others",fall,2011,ENG-SCI,23,2.1,3.6
ENG-SCI 220: Fluid Dynamics,fall,2011,ENG-SCI,16,2.8,4.2
ENG-SCI 222: Advanced Cellular Engineering,fall,2011,ENG-SCI,7,3.4,4.0
ENG-SCI 233: Health Care Computer-Assisted Innovations,fall,2011,ENG-SCI,5,3.2,4.5
ENG-SCI 239: Advanced Innovation in Science and Engineering: Conference Course,fall,2011,ENG-SCI,5,1.2,3.8
ENG-SCI 240: Solid Mechanics,fall,2011,ENG-SCI,15,3.2,3.9
ENG-SCI 255: Detection and Estimation Theory and Applications,fall,2011,ENG-SCI,6,4.5,4.7
ENG-SCI 268: Chemical Kinetics,fall,2011,ENG-SCI,14,1.9,3.9
ENG-SCI 271R: Topics in Mixed-Signal Integrated Circuits,fall,2011,ENG-SCI,9,2.0,4.3
ENG-SCI 273: Optics and Photonics,fall,2011,ENG-SCI,9,2.4,4.6
ENG-SCI 275: Nanophotonics,fall,2011,ENG-SCI,5,3.6,3.6
ENG-SCI 276: Introduction to MicroElectroMechanical System,fall,2011,ENG-SCI,11,1.6,3.5
"ENG-SCI 397: Multidimensional Signal Processing, Sensor Networks, and Computational Imaging",fall,2011,ENG-SCI,2,5.0,5.0
ENG-SCI 51: Computer-Aided Machine Design,fall,2011,ENG-SCI,30,2.2,4.5
ENG-SCI 53: Quantitative Physiology as a Basis for Bioengineering,fall,2011,ENG-SCI,40,3.8,3.2
ENGLISH 125S: Shakespeare and Identity,fall,2011,ENGLISH,20,2.4,4.6
ENGLISH 131: John Milton: An Introduction to His Life and Poetry,fall,2011,ENGLISH,6,2.2,4.3
ENGLISH 151: The 19th-Century Novel,fall,2011,ENGLISH,22,2.9,4.2
ENGLISH 154: Literature and Sexuality,fall,2011,ENGLISH,418,2.1,4.4
ENGLISH 157: The Classic Phase of the Novel,fall,2011,ENGLISH,79,3.1,4.6
ENGLISH 158: Crime and Punishment in English Fiction,fall,2011,ENGLISH,12,2.7,3.8
ENGLISH 170AW: American Women Writers,fall,2011,ENGLISH,14,2.9,3.9
ENGLISH 179: American Drama Since 1945,fall,2011,ENGLISH,39,2.2,3.4
